name,pokedex_number,type1,type2,generation
Bulbasaur,1,grass,poison,1
Ivysaur,2,grass,poison,1
Venusaur,3,grass,poison,1
Charmander,4,fire,,1
Charmeleon,5,fire,,1
Charizard,6,fire,flying,1
Squirtle,7,water,,1
Wartortle,8,water,,1
Blastoise,9,water,,1
Caterpie,10,bug,,1
Metapod,11,bug,,1
Butterfree,12,bug,flying,1
Weedle,13,bug,poison,1
Kakuna,14,bug,poison,1
Beedrill,15,bug,poison,1
Pidgey,16,normal,flying,1
Pidgeotto,17,normal,flying,1
Pidgeot,18,normal,flying,1
Rattata,19,normal,dark,1
Raticate,20,normal,dark,1
Spearow,21,normal,flying,1
Fearow,22,normal,flying,1
Ekans,23,poison,,1
Arbok,24,poison,,1
Pikachu,25,electric,,1
Raichu,26,electric,electric,1
Sandshrew,27,ground,ice,1
Sandslash,28,ground,ice,1
Nidoran♀,29,poison,,1
Nidorina,30,poison,,1
Nidoqueen,31,poison,ground,1
Nidoran♂,32,poison,,1
Nidorino,33,poison,,1
Nidoking,34,poison,ground,1
Clefairy,35,fairy,,1
Clefable,36,fairy,,1
Vulpix,37,fire,ice,1
Ninetales,38,fire,ice,1
Jigglypuff,39,normal,fairy,1
Wigglytuff,40,normal,fairy,1
Zubat,41,poison,flying,1
Golbat,42,poison,flying,1
Oddish,43,grass,poison,1
Gloom,44,grass,poison,1
Vileplume,45,grass,poison,1
Paras,46,bug,grass,1
Parasect,47,bug,grass,1
Venonat,48,bug,poison,1
Venomoth,49,bug,poison,1
Diglett,50,ground,ground,1
Dugtrio,51,ground,ground,1
Meowth,52,normal,dark,1
Persian,53,normal,dark,1
Psyduck,54,water,,1
Golduck,55,water,,1
Mankey,56,fighting,,1
Primeape,57,fighting,,1
Growlithe,58,fire,,1
Arcanine,59,fire,,1
Poliwag,60,water,,1
Poliwhirl,61,water,,1
Poliwrath,62,water,fighting,1
Abra,63,psychic,,1
Kadabra,64,psychic,,1
Alakazam,65,psychic,,1
Machop,66,fighting,,1
Machoke,67,fighting,,1
Machamp,68,fighting,,1
Bellsprout,69,grass,poison,1
Weepinbell,70,grass,poison,1
Victreebel,71,grass,poison,1
Tentacool,72,water,poison,1
Tentacruel,73,water,poison,1
Geodude,74,rock,ground,1
Graveler,75,rock,ground,1
Golem,76,rock,ground,1
Ponyta,77,fire,,1
Rapidash,78,fire,,1
Slowpoke,79,water,psychic,1
Slowbro,80,water,psychic,1
Magnemite,81,electric,steel,1
Magneton,82,electric,steel,1
Farfetch'd,83,normal,flying,1
Doduo,84,normal,flying,1
Dodrio,85,normal,flying,1
Seel,86,water,,1
Dewgong,87,water,ice,1
Grimer,88,poison,poison,1
Muk,89,poison,poison,1
Shellder,90,water,,1
Cloyster,91,water,ice,1
Gastly,92,ghost,poison,1
Haunter,93,ghost,poison,1
Gengar,94,ghost,poison,1
Onix,95,rock,ground,1
Drowzee,96,psychic,,1
Hypno,97,psychic,,1
Krabby,98,water,,1
Kingler,99,water,,1
Voltorb,100,electric,,1
Electrode,101,electric,,1
Exeggcute,102,grass,psychic,1
Exeggutor,103,grass,psychic,1
Cubone,104,ground,,1
Marowak,105,ground,fire,1
Hitmonlee,106,fighting,,1
Hitmonchan,107,fighting,,1
Lickitung,108,normal,,1
Koffing,109,poison,,1
Weezing,110,poison,,1
Rhyhorn,111,ground,rock,1
Rhydon,112,ground,rock,1
Chansey,113,normal,,1
Tangela,114,grass,,1
Kangaskhan,115,normal,,1
Horsea,116,water,,1
Seadra,117,water,,1
Goldeen,118,water,,1
Seaking,119,water,,1
Staryu,120,water,,1
Starmie,121,water,psychic,1
Mr. Mime,122,psychic,fairy,1
Scyther,123,bug,flying,1
Jynx,124,ice,psychic,1
Electabuzz,125,electric,,1
Magmar,126,fire,,1
Pinsir,127,bug,,1
Tauros,128,normal,,1
Magikarp,129,water,,1
Gyarados,130,water,flying,1
Lapras,131,water,ice,1
Ditto,132,normal,,1
Eevee,133,normal,,1
Vaporeon,134,water,,1
Jolteon,135,electric,,1
Flareon,136,fire,,1
Porygon,137,normal,,1
Omanyte,138,rock,water,1
Omastar,139,rock,water,1
Kabuto,140,rock,water,1
Kabutops,141,rock,water,1
Aerodactyl,142,rock,flying,1
Snorlax,143,normal,,1
Articuno,144,ice,flying,1
Zapdos,145,electric,flying,1
Moltres,146,fire,flying,1
Dratini,147,dragon,,1
Dragonair,148,dragon,,1
Dragonite,149,dragon,flying,1
Mewtwo,150,psychic,,1
Mew,151,psychic,,1
